Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Free Sugar (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Cauliflower au gratin,,,145.9,4.45,10.2,,1.44,9.13,Indian Dishes,3.01,164.96,119.69,0.57,50.15,69.55
Vegetable and cheese pie,,,126.88,4.03,8.28,,1.91,8.76,Indian Dishes,2.69,117.99,99.48,0.58,55.0,104.25
Spinach souffle ,,,150.18,7.36,10.52,,1.44,6.27,Indian Dishes,0.89,244.07,133.69,2.15,30.28,172.47
Beetroot and egg salad (Chukandar aur ande ka salad),,,84.92,3.36,6.45,,0.55,3.4,Indian Dishes,1.97,110.12,18.13,0.55,6.0,41.14
Sour cream potato salad,,,121.9,2.89,8.13,,1.21,9.05,Indian Dishes,0.84,102.66,23.25,0.9,37.28,52.99
Tossed green salad,,,49.88,1.33,3.24,,1.33,3.82,Indian Dishes,1.9,65.09,33.71,1.27,58.24,75.97
Spring basket salad,,,160.46,3.36,11.3,,3.09,11.61,Indian Dishes,1.46,26.02,45.65,0.85,70.79,109.53
Cucumber and yogurt salad (Kheere aur dahi ka salad),,,36.13,2.09,0.93,,1.66,4.72,Indian Dishes,2.28,141.73,68.49,0.52,6.74,21.36
Chicken and tomato towers,,,100.55,6.9,6.99,,1.14,2.36,Indian Dishes,1.21,76.02,17.54,0.77,56.69,49.49
Jellied sunshine fruit salad,,,48.86,5.85,0.85,,1.8,4.21,Indian Dishes,2.86,74.2,37.14,0.87,28.75,37.7
Tomato aspic,,,50.37,6.87,0.26,,1.58,5.02,Indian Dishes,3.21,98.17,44.28,1.18,35.87,39.01
Frozen frosty fruit salad (Phalon ka salaad),,,103.51,1.68,4.17,,0.26,15.61,Indian Dishes,14.38,13.23,28.61,0.41,33.45,20.91
French dressing,,,733.77,0.32,79.65,,0.22,3.68,Indian Dishes,3.01,261.13,6.98,0.48,6.42,1.95
Mayonnaise without eggs,,,329.05,2.13,33.84,,0.04,3.98,Indian Dishes,3.68,193.58,75.54,0.27,12.05,18.85
Curd dressing ,,,78.8,5.59,2.9,,0.22,8.03,Indian Dishes,7.57,204.62,194.59,0.18,5.34,39.4
Carrot raita (Gajar ka raita),,,64.78,4.14,2.19,,1.69,7.19,Indian Dishes,5.99,274.46,146.72,0.55,7.76,32.0
Pumpkin raita (Kaddu ka raita),,,55.6,3.74,1.88,,1.04,6.02,Indian Dishes,5.48,129.14,130.11,0.33,7.11,31.7
Mint and peanut raita (Pudinay aur moongfali ka raita),,,112.05,7.05,6.19,,1.79,7.31,Indian Dishes,6.17,223.01,191.01,1.68,6.06,44.25
Spinach raita (Palak ka raita),,,52.75,3.95,1.86,,1.39,5.06,Indian Dishes,3.97,126.57,142.96,1.61,32.9,160.65
Bathua raita,,,54.4,4.13,1.76,,2.19,5.31,Indian Dishes,4.11,110.92,206.31,1.46,43.65,61.2
Pineapple raita (Ananas ka raita),,,67.74,3.9,2.02,,1.39,8.62,Indian Dishes,8.12,135.48,134.53,0.27,19.89,27.72
Banana raita (Kele ka raita),,,89.03,4.13,2.07,,1.0,13.51,Indian Dishes,10.11,135.43,133.23,0.31,5.73,27.58
Mango raita (Aam ka raita),,,67.37,3.9,2.14,,0.89,8.23,Indian Dishes,7.87,135.46,136.06,0.34,18.19,59.64
